change_id,action,proposed_category,word,review_group,rationale,review_status,source_note
PAPV2-287,remove,,Biopsy,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-288,remove,,Suture,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-289,remove,,Blu-ray,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-290,remove,,Cologne,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-291,remove,,IV Stand,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-292,remove,,Nintendo,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-293,remove,,Play-Doh,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-294,remove,,Catacombs,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-295,remove,,Game Disc,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-296,remove,,Mausoleum,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-297,remove,,Blood Test,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-298,remove,,Clown Nose,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-299,remove,,Urine Test,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-300,remove,,Call Button,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-301,remove,,ID Bracelet,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-302,remove,,Stool Sample,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-303,remove,,Action Figure,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-304,remove,,Biohazard Bin,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-305,remove,,Rubber Chicken,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-306,remove,,Rubik’s Cube,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-307,remove,,Fitness Tracker,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-308,remove,,Medical Records,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-309,remove,,Medical Bracelet,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-310,remove,,Medical Waste Bin,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-311,remove,,Medical Alert System,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-312,remove,,Health Insurance Card,expanded_removal_review,not foundational,approved,existing Papawai category Objects
PAPV2-313,remove,,Mesa,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-314,remove,,Butte,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-315,remove,,Cenote,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-316,remove,,Tundra,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-317,remove,,Savanna,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-318,remove,,Badlands,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-319,remove,,Fumarole,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-320,remove,,Lava Tube,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-321,remove,,Canyonlands,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-322,remove,,Marble Cave,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-323,remove,,Beach Resort,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-324,remove,,Glacier Cave,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-325,remove,,Abyssal Plain,expanded_removal_review,not foundational,approved,existing Papawai category Places
PAPV2-326,remove,,CEO,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-327,remove,,EMT,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-328,remove,,Ethicist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-329,remove,,Logician,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-330,remove,,Archivist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-331,remove,,Paralegal,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-332,remove,,Urologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-333,remove,,Axiologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-334,remove,,Geneticist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-335,remove,,Ontologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-336,remove,,Theologian,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-337,remove,,Demographer,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-338,remove,,Philologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-339,remove,,Philosopher,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-340,remove,,Radiologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-341,remove,,Rhetorician,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-342,remove,,Semiotician,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-343,remove,,Cartographer,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-344,remove,,Entomologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-345,remove,,Ethnographer,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-346,remove,,Glaciologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-347,remove,,Gynecologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-348,remove,,Orthodontist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-349,remove,,Risk Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-350,remove,,Seismologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-351,remove,,Statistician,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-352,remove,,Climatologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-353,remove,,Criminologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-354,remove,,Dermatologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-355,remove,,Herpetologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-356,remove,,Ichthyologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-357,remove,,Lexicographer,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-358,remove,,Metaphysician,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-359,remove,,Ornithologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-360,remove,,Postmodernist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-361,remove,,Structuralist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-362,remove,,Vulcanologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-363,remove,,Epistemologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-364,remove,,Existentialist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-365,remove,,Market Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-366,remove,,Paleontologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-367,remove,,Policy Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-368,remove,,Conservationist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-369,remove,,Network Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-370,remove,,Ophthalmologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-371,remove,,Phenomenologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-372,remove,,Quality Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-373,remove,,Systems Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-374,remove,,Anesthesiologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-375,remove,,Forensic Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-376,remove,,Security Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-377,remove,,Critical Theorist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-378,remove,,Deconstructionist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-379,remove,,Functional Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-380,remove,,Management Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-381,remove,,Wildlife Biologist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-382,remove,,Political Scientist,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-383,remove,,Intelligence Analyst,expanded_removal_review,not foundational,approved,existing Papawai category Professions
PAPV2-384,remove,,Bocce,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-385,remove,,NASCAR,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-386,remove,,Biathlon,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-387,remove,,Lacrosse,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-388,remove,,Skeleton,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-389,remove,,Broomball,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-390,remove,,Disc Golf,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-391,remove,,Nine-Ball,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-392,remove,,Ice Rescue,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-393,remove,,Ice Archery,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-394,remove,,Ice Boating,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-395,remove,,Ice Bowling,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-396,remove,,Ice Curling,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-397,remove,,Ice Dancing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-398,remove,,Ice Fishing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-399,remove,,Ice Rafting,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-400,remove,,Ice Sailing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-401,remove,,Ice Surfing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-402,remove,,Iceboarding,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-403,remove,,Snowshoeing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-404,remove,,BASE Jumping,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-405,remove,,Bodyboarding,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-406,remove,,Ice Canoeing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-407,remove,,Ice Jousting,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-408,remove,,Ice Swimming,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-409,remove,,Ice Yachting,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-410,remove,,Landboarding,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-411,remove,,Sandboarding,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-412,remove,,Ice Jet Skiing,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-413,remove,,Ice Volleyball,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-414,remove,,Street Workout,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-415,remove,,Canopy Piloting,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-416,remove,,Nordic Combined,expanded_removal_review,not foundational,approved,existing Papawai category Sports
PAPV2-417,remove,,Wingsuit Flying,expanded_removal_review,not foundational,approved,existing Papawai category Sports
